"long","lat","location","category","n"
-2.289022,53.410565,"On or near Moorcroft Road","Other crime",1
-2.288673,53.441181,"On or near Meadow Court","Burglary",1
-2.288433,53.392527,"On or near Banbury Road","Violence and sexual offences",1
-2.288428,53.398477,"On or near Burwell Grove","Other theft",1
-2.288205,53.38539,"On or near Gilwell Drive","Violence and sexual offences",1
-2.287765,53.438253,"On or near Swinfield Avenue","Burglary",1
-2.287745,53.399737,"On or near Spark Road","Drugs",1
-2.287745,53.399737,"On or near Spark Road","Other crime",1
-2.287549,53.395234,"On or near Dunkeld Road","Burglary",1
-2.287455,53.439216,"On or near Cartwright Road","Burglary",1
-2.287356,53.408951,"On or near Northolt Road","Public order",1
-2.287342,53.440268,"On or near Hackness Road","Burglary",1
-2.287323,53.392853,"On or near Hockley Road","Vehicle crime",1
-2.287323,53.392853,"On or near Hockley Road","Violence and sexual offences",1
-2.287177,53.362256,"On or near York Drive","Criminal damage and arson",1
-2.286961,53.444116,"On or near Patterson Avenue","Burglary",1
-2.286787,53.378014,"On or near Rowarth Road","Violence and sexual offences",1
-2.286487,53.382599,"On or near Rodborough Road","Burglary",1
-2.286375,53.381673,"On or near Foxfield Road","Criminal damage and arson",1
-2.286375,53.439838,"On or near Kingshill Road","Other theft",1
-2.286069,53.441313,"On or near Belgravia Gardens","Burglary",1
-2.286069,53.441313,"On or near Belgravia Gardens","Violence and sexual offences",1
-2.285921,53.39904,"On or near Royal Oak Road","Criminal damage and arson",1
-2.285841,53.389423,"On or near Morven Drive","Criminal damage and arson",1
-2.285787,53.415031,"On or near Kelfield Avenue","Other theft",1
-2.285787,53.415031,"On or near Kelfield Avenue","Violence and sexual offences",1
-2.285665,53.439418,"On or near Vicars Road","Burglary",1
-2.285614,53.384704,"On or near Shadowbrook Avenue","Shoplifting",1
-2.285582,53.355168,"On or near Parking Area","Vehicle crime",1
-2.285312,53.438457,"On or near Hammett Road","Burglary",1
-2.285202,53.399564,"On or near Westage Gardens","Possession of weapons",1
-2.285099,53.379681,"On or near Barnwood Road","Criminal damage and arson",1
-2.285088,53.398198,"On or near Oakcliffe Road","Vehicle crime",1
-2.285088,53.398198,"On or near Oakcliffe Road","Violence and sexual offences",1
-2.284595,53.394271,"On or near Ackworth Drive","Vehicle crime",1
-2.28445,53.41534,"On or near Hawkswick Drive","Burglary",1
-2.284412,53.411808,"On or near Hillend Road","Vehicle crime",1
-2.284396,53.43881,"On or near Albemarle Road","Burglary",1
-2.284092,53.384106,"On or near Millhouse Avenue","Criminal damage and arson",1
-2.283954,53.390488,"On or near Beckfield Road","Other theft",1
-2.283812,53.3895,"On or near Whitehouse Drive","Criminal damage and arson",1
-2.283716,53.384179,"On or near Chalford Road","Public order",1
-2.283716,53.384179,"On or near Chalford Road","Violence and sexual offences",1
-2.283426,53.442218,"On or near Hastings Avenue","Other theft",1
-2.283355,53.384126,"On or near Luton Drive","Violence and sexual offences",1
-2.283038,53.408782,"On or near Orton Road","Vehicle crime",1
-2.282935,53.39112,"On or near Warton Drive","Violence and sexual offences",1
-2.282924,53.439191,"On or near St Clements Road","Other theft",1
-2.282924,53.439191,"On or near St Clements Road","Violence and sexual offences",1
-2.282755,53.447847,"On or near Sark Road","Burglary",1
-2.282423,53.384137,"On or near Millbrook Road","Criminal damage and arson",1
-2.282293,53.398501,"On or near Baxter Gardens","Vehicle crime",1
-2.282061,53.399886,"On or near Rawpool Gardens","Violence and sexual offences",1
-2.281933,53.389666,"On or near Parkend Road","Vehicle crime",1
-2.281901,53.375626,"On or near Enford Avenue","Violence and sexual offences",1
-2.281739,53.387626,"On or near Colshaw Road","Burglary",1
-2.281739,53.387626,"On or near Colshaw Road","Criminal damage and arson",1
-2.2817,53.386188,"On or near Whitburn Road","Violence and sexual offences",1
-2.281667,53.388067,"On or near Orkney Close","Vehicle crime",1
-2.281643,53.443589,"On or near Vincent Avenue","Violence and sexual offences",1
-2.281463,53.384543,"On or near Malling Road","Criminal damage and arson",1
-2.281463,53.384543,"On or near Malling Road","Robbery",1
-2.28138,53.410584,"On or near Orton Avenue","Criminal damage and arson",1
-2.281351,53.438062,"On or near Crossland Road","Violence and sexual offences",1
-2.281249,53.399959,"On or near Wellfield Road","Bicycle theft",1
-2.281147,53.4459,"On or near Hartley Road","Vehicle crime",1
-2.280769,53.413776,"On or near Fellpark Road","Violence and sexual offences",1
-2.280565,53.391961,"On or near Hollyhedge Road","Drugs",1
-2.280527,53.381606,"On or near Deptford Avenue","Violence and sexual offences",1
-2.280112,53.437408,"On or near Pinewood Road","Criminal damage and arson",1
-2.27966,53.446434,"On or near Ponds Close","Public order",1
-2.279655,53.443378,"On or near Parking Area","Violence and sexual offences",1
-2.279443,53.411235,"On or near Newhall Drive","Criminal damage and arson",1
-2.279443,53.411235,"On or near Newhall Drive","Public order",1
-2.278918,53.413735,"On or near Tipton Drive","Burglary",1
-2.278743,53.442176,"On or near Supermarket","Violence and sexual offences",1
-2.278698,53.446724,"On or near Ransfield Road","Burglary",1
-2.278698,53.446724,"On or near Ransfield Road","Criminal damage and arson",1
-2.278627,53.440459,"On or near Johns Close","Other theft",1
-2.278618,53.411507,"On or near Sale Road","Criminal damage and arson",1
-2.278618,53.411507,"On or near Sale Road","Public order",1
-2.27859,53.391148,"On or near Martinscroft Road","Burglary",1
-2.27859,53.391148,"On or near Martinscroft Road","Violence and sexual offences",1
-2.278526,53.445727,"On or near Oswald Lane","Other theft",1
-2.278526,53.445727,"On or near Oswald Lane","Shoplifting",1
-2.278526,53.445727,"On or near Oswald Lane","Vehicle crime",1
-2.278369,53.380308,"On or near Flaxcroft Road","Criminal damage and arson",1
-2.278327,53.442941,"On or near Shopping Area","Criminal damage and arson",1
-2.278327,53.442941,"On or near Shopping Area","Other theft",1
-2.278234,53.391931,"On or near Foscarn Drive","Other theft",1
-2.278194,53.447956,"On or near Cheltenham Road","Burglary",1
-2.278194,53.447956,"On or near Cheltenham Road","Criminal damage and arson",1
-2.278095,53.395958,"On or near Gatwick Avenue","Public order",1
-2.277852,53.39328,"On or near Porlock Road","Vehicle crime",1
-2.277697,53.445603,"On or near Petrol Station","Theft from the person",1
-2.277697,53.445603,"On or near Petrol Station","Violence and sexual offences",1
-2.277629,53.379869,"On or near Furlong Road","Vehicle crime",1
-2.277629,53.379869,"On or near Furlong Road","Violence and sexual offences",1
-2.277489,53.436839,"On or near Beaumont Road","Public order",1
-2.277145,53.441847,"On or near Silverwood Avenue","Robbery",1
-2.277145,53.441847,"On or near Silverwood Avenue","Theft from the person",1
-2.276973,53.399169,"On or near Haybarn Road","Vehicle crime",1
-2.276929,53.373903,"On or near Petheridge Drive","Violence and sexual offences",1
-2.276912,53.445308,"On or near Brantingham Road","Drugs",1
-2.276912,53.445308,"On or near Brantingham Road","Possession of weapons",1
-2.276912,53.445308,"On or near Brantingham Road","Theft from the person",1
-2.276912,53.445308,"On or near Brantingham Road","Violence and sexual offences",1
-2.276842,53.443861,"On or near Keppel Road","Burglary",1
-2.276802,53.377534,"On or near Drake Avenue","Burglary",1
-2.276802,53.377534,"On or near Drake Avenue","Criminal damage and arson",1
-2.276802,53.407601,"On or near The Pines","Drugs",1
-2.276704,53.443466,"On or near Warwick Road","Criminal damage and arson",1
-2.276704,53.443466,"On or near Warwick Road","Possession of weapons",1
-2.276687,53.394541,"On or near Rissington Avenue","Burglary",1
-2.27667,53.373409,"On or near Painswick Road","Other theft",1
-2.276592,53.389058,"On or near Flagcroft Drive","Burglary",1
-2.276592,53.389058,"On or near Flagcroft Drive","Vehicle crime",1
-2.276582,53.366659,"On or near Petrol Station","Other theft",1
-2.27574,53.373636,"On or near Brierton Drive","Other theft",1
-2.275699,53.378993,"On or near Podsmead Road","Burglary",1
-2.275699,53.378993,"On or near Podsmead Road","Vehicle crime",1
-2.275681,53.436547,"On or near Reynard Road","Other theft",1
-2.27563,53.389168,"On or near Dunnisher Road","Criminal damage and arson",1
-2.275554,53.407649,"On or near Hallas Grove","Criminal damage and arson",1
-2.275525,53.433347,"On or near Cundiff Road","Burglary",1
-2.275525,53.433347,"On or near Cundiff Road","Vehicle crime",1
-2.275478,53.381924,"On or near Peterswood Close","Criminal damage and arson",1
-2.275478,53.381924,"On or near Peterswood Close","Violence and sexual offences",1
-2.275115,53.449141,"On or near Manchester Road","Violence and sexual offences",1
-2.274722,53.399867,"On or near Parkbrook Road","Burglary",1
-2.274722,53.399867,"On or near Parkbrook Road","Vehicle crime",1
-2.274518,53.442949,"On or near Supermarket","Other theft",1
-2.274518,53.442949,"On or near Supermarket","Theft from the person",1
-2.274497,53.437314,"On or near Police Station","Other theft",1
-2.274244,53.374781,"On or near Tetbury Road","Vehicle crime",1
-2.274084,53.391886,"On or near Heybrook Road","Vehicle crime",1
-2.274076,53.365001,"On or near Malaga Avenue","Burglary",1
-2.274076,53.365001,"On or near Malaga Avenue","Drugs",1
-2.273974,53.393523,"On or near Blackcarr Road","Vehicle crime",1
-2.273761,53.43994,"On or near Zetland Road","Burglary",1
-2.273761,53.43994,"On or near Zetland Road","Vehicle crime",1
-2.273736,53.36822,"On or near Outwood Lane West","Public order",1
-2.273676,53.433738,"On or near Brassington Avenue","Theft from the person",1
-2.273489,53.446808,"On or near Abbotsford Road","Public order",1
-2.273448,53.438089,"On or near Fairhaven Avenue","Other theft",1
-2.273425,53.380652,"On or near Simonsway","Criminal damage and arson",1
-2.273425,53.380652,"On or near Simonsway","Vehicle crime",1
-2.273377,53.45043,"On or near Seymour Grove","Criminal damage and arson",1
-2.273377,53.45043,"On or near Seymour Grove","Other theft",1
-2.273324,53.376554,"On or near Devoke Road","Other theft",1
-2.273249,53.362505,"On or near Parking Area","Drugs",1
-2.27321,53.436274,"On or near Petrol Station","Shoplifting",1
-2.272922,53.381903,"On or near Adshead Close","Violence and sexual offences",1
-2.272916,53.437317,"On or near Norbreck Avenue","Burglary",1
-2.272906,53.44271,"On or near Petrol Station","Other theft",1
-2.272871,53.432616,"On or near Aveson Avenue","Robbery",1
-2.272821,53.363746,"On or near Parking Area","Criminal damage and arson",1
-2.272758,53.429102,"On or near Fitton Avenue","Vehicle crime",1
-2.272534,53.377661,"On or near Bulford Avenue","Violence and sexual offences",1
-2.272181,53.364673,"On or near Terminal Road North","Other theft",1
-2.2721,53.382624,"On or near Sports/Recreation Area","Public order",1
-2.271964,53.375505,"On or near Buttermere Avenue","Violence and sexual offences",1
-2.271915,53.443252,"On or near Silverdale Road","Public order",1
-2.271671,53.362562,"On or near International Approach","Drugs",1
-2.271671,53.362562,"On or near International Approach","Other theft",1
-2.271671,53.362562,"On or near International Approach","Possession of weapons",1
-2.271671,53.362562,"On or near International Approach","Theft from the person",1
-2.271614,53.384234,"On or near Topfield Road","Other theft",1
-2.271614,53.384234,"On or near Topfield Road","Public order",1
-2.271614,53.384234,"On or near Topfield Road","Vehicle crime",1
-2.27147,53.363983,"On or near Terminal Road East","Other theft",1
-2.27101,53.376739,"On or near Altcar Walk","Vehicle crime",1
-2.270981,53.384001,"On or near Robertscroft Close","Violence and sexual offences",1
-2.270978,53.39539,"On or near Partridge Avenue","Burglary",1
-2.270617,53.388245,"On or near Moat Gardens","Violence and sexual offences",1
-2.270477,53.449152,"On or near Alport Avenue","Burglary",1
-2.270294,53.432137,"On or near Supermarket","Burglary",1
-2.27022,53.434726,"On or near Sports/Recreation Area","Robbery",1
-2.270186,53.360552,"On or near Airport/Airfield","Other theft",1
-2.270186,53.360552,"On or near Airport/Airfield","Shoplifting",1
-2.270107,53.402628,"On or near Gib Lane","Other theft",1
-2.269846,53.430268,"On or near Hardcastle Avenue","Criminal damage and arson",1
-2.269834,53.361928,"On or near Domestic Approach","Other theft",1
-2.269834,53.361928,"On or near Domestic Approach","Theft from the person",1
-2.269573,53.441855,"On or near Ellesmere Road South","Burglary",1
-2.269505,53.371717,"On or near Rottingdene Drive","Vehicle crime",1
-2.269212,53.439492,"On or near Sidbury Road","Violence and sexual offences",1
-2.268917,53.450081,"On or near Bury Avenue","Other theft",1
-2.268337,53.439233,"On or near Clovelly Road","Violence and sexual offences",1
-2.268328,53.378147,"On or near Brimscombe Avenue","Drugs",1
-2.268176,53.387459,"On or near Nearmaker Road","Violence and sexual offences",1
-2.268112,53.410677,"On or near Kemble Avenue","Violence and sexual offences",1
-2.267872,53.370076,"On or near Gorston Walk","Bicycle theft",1
-2.267771,53.428188,"On or near Melland Avenue","Criminal damage and arson",1
-2.26756,53.447352,"On or near Marlborough Avenue","Violence and sexual offences",1
-2.267553,53.400755,"On or near Beechpark Avenue","Violence and sexual offences",1
-2.267499,53.380144,"On or near Police Station","Other crime",1
-2.267394,53.382508,"On or near Leybrook Road","Violence and sexual offences",1
-2.267236,53.383794,"On or near Beckton Gardens","Criminal damage and arson",1
-2.2672,53.437887,"On or near Park Brow Close","Burglary",1
-2.266916,53.375858,"On or near Stoneacre Road","Criminal damage and arson",1
-2.2668,53.47013,"On or near Parking Area","Possession of weapons",1
-2.266634,53.429296,"On or near Leeswood Avenue","Burglary",1
-2.266634,53.429296,"On or near Leeswood Avenue","Criminal damage and arson",1
-2.266634,53.429296,"On or near Leeswood Avenue","Violence and sexual offences",1
-2.266549,53.449385,"On or near College Drive","Violence and sexual offences",1
-2.266494,53.382951,"On or near Somerton Avenue","Vehicle crime",1
-2.266494,53.382951,"On or near Somerton Avenue","Violence and sexual offences",1
-2.266202,53.4011,"On or near Netherwood Road","Vehicle crime",1
-2.266101,53.389783,"On or near Broadoak Avenue","Violence and sexual offences",1
-2.2661,53.375177,"On or near Tayfield Road","Burglary",1
-2.2661,53.375177,"On or near Tayfield Road","Criminal damage and arson",1
-2.26605,53.425027,"On or near Park/Open Space","Criminal damage and arson",1
-2.265998,53.380426,"On or near Parking Area","Bicycle theft",1
-2.265998,53.380426,"On or near Parking Area","Criminal damage and arson",1
-2.265998,53.380426,"On or near Parking Area","Violence and sexual offences",1
-2.265803,53.440911,"On or near Chatburn Road","Criminal damage and arson",1
-2.265704,53.391267,"On or near Barncroft Gardens","Other theft",1
-2.265628,53.395986,"On or near Royalthorn Drive","Burglary",1
-2.265628,53.395986,"On or near Royalthorn Drive","Criminal damage and arson",1
-2.265585,53.372068,"On or near Herle Drive","Criminal damage and arson",1
-2.265556,53.425415,"On or near Hallows Avenue","Criminal damage and arson",1
-2.265365,53.382603,"On or near Wynyard Road","Criminal damage and arson",1
-2.265331,53.454502,"On or near Upper Chorlton Road","Burglary",1
-2.265089,53.389093,"On or near Hollyhedge Road","Violence and sexual offences",1
-2.265079,53.443034,"On or near Wilbraham Road","Burglary",1
-2.26506,53.452067,"On or near Wood Road","Drugs",1
-2.26506,53.452067,"On or near Wood Road","Violence and sexual offences",1
-2.264899,53.469676,"On or near Malt Street","Other theft",1
-2.264899,53.469676,"On or near Malt Street","Theft from the person",1
-2.264843,53.422091,"On or near Freckleton Avenue","Violence and sexual offences",1
-2.264494,53.392465,"On or near Benchill Drive","Public order",1
-2.264467,53.373544,"On or near Barnclose Road","Other crime",1
-2.264446,53.440428,"On or near Lambton Road","Possession of weapons",1
-2.264351,53.42282,"On or near Winterburn Avenue","Violence and sexual offences",1
-2.264234,53.452402,"On or near Rowan Avenue","Robbery",1
-2.264196,53.368628,"On or near Lincombe Road","Violence and sexual offences",1
-2.264188,53.445013,"On or near Morville Road","Burglary",1
-2.264027,53.387523,"On or near Panfield Road","Burglary",1
-2.264022,53.437616,"On or near Sports/Recreation Area","Violence and sexual offences",1
-2.263949,53.396844,"On or near Boothfield Avenue","Other crime",1
-2.263949,53.396844,"On or near Boothfield Avenue","Violence and sexual offences",1
-2.263886,53.401231,"On or near Kenmore Road","Burglary",1
-2.263733,53.420188,"On or near Newbrook Avenue","Criminal damage and arson",1
-2.263678,53.399164,"On or near Neath Avenue","Burglary",1
-2.263593,53.363488,"On or near Parking Area","Other theft",1
-2.263593,53.363488,"On or near Parking Area","Vehicle crime",1
-2.263576,53.472663,"On or near Bus/Coach Station","Burglary",1
-2.263576,53.472663,"On or near Bus/Coach Station","Vehicle crime",1
-2.263403,53.434984,"On or near Wharton Avenue","Criminal damage and arson",1
-2.263335,53.423955,"On or near Ennerdale Avenue","Burglary",1
-2.263174,53.385781,"On or near Broadley Avenue","Other theft",1
-2.263105,53.447559,"On or near Bedford Avenue","Other theft",1
-2.262865,53.411273,"On or near Sunset Avenue","Violence and sexual offences",1
-2.262863,53.435281,"On or near Formby Avenue","Vehicle crime",1
-2.262772,53.396181,"On or near Crossgate Avenue","Violence and sexual offences",1
-2.262748,53.389854,"On or near Newhey Avenue","Burglary",1
-2.262748,53.389854,"On or near Newhey Avenue","Criminal damage and arson",1
-2.262729,53.472036,"On or near Park/Open Space","Other theft",1
-2.262729,53.472036,"On or near Park/Open Space","Vehicle crime",1
-2.262725,53.407993,"On or near Wood View","Violence and sexual offences",1
-2.262703,53.455686,"On or near Oakfield Avenue","Other theft",1
-2.262676,53.375742,"On or near Robinswood Road","Burglary",1
-2.262576,53.449718,"On or near Beech Hurst Close","Vehicle crime",1
-2.262474,53.425925,"On or near Leacroft Road","Violence and sexual offences",1
-2.262466,53.473322,"On or near Park/Open Space","Other crime",1
-2.262393,53.402915,"On or near Dronfield Road","Vehicle crime",1
-2.262393,53.402915,"On or near Dronfield Road","Violence and sexual offences",1
-2.262213,53.451966,"On or near Russell Road","Violence and sexual offences",1
-2.262144,53.379527,"On or near Supermarket","Criminal damage and arson",1
-2.262144,53.379527,"On or near Supermarket","Other theft",1
-2.262144,53.379527,"On or near Supermarket","Theft from the person",1
-2.262144,53.379527,"On or near Supermarket","Violence and sexual offences",1
-2.262094,53.454635,"On or near Whalley Road","Violence and sexual offences",1
-2.262049,53.469332,"On or near Brotherton Close","Public order",1
-2.262019,53.408147,"On or near Greenpark Road","Burglary",1
-2.26194,53.39284,"On or near Brookcroft Avenue","Criminal damage and arson",1
-2.261736,53.384202,"On or near Oakmere Close","Burglary",1
-2.261645,53.381577,"On or near Poundswick Lane","Other theft",1
-2.261623,53.395204,"On or near Mullacre Road","Vehicle crime",1
-2.261584,53.447581,"On or near Wellington Avenue","Violence and sexual offences",1
-2.261496,53.470007,"On or near Barrack Street","Burglary",1
-2.261496,53.470007,"On or near Barrack Street","Criminal damage and arson",1
-2.261486,53.367978,"On or near Thornsgreen Road","Other theft",1
-2.261464,53.40111,"On or near Banstead Avenue","Vehicle crime",1
-2.261459,53.37818,"On or near Petrol Station","Criminal damage and arson",1
-2.261459,53.37818,"On or near Petrol Station","Other theft",1
-2.261459,53.37818,"On or near Petrol Station","Robbery",1
-2.261459,53.37818,"On or near Petrol Station","Shoplifting",1
-2.261455,53.451131,"On or near Deeping Avenue","Vehicle crime",1
-2.261228,53.377255,"On or near Rowlandsway","Public order",1
-2.261196,53.455491,"On or near Langfield Avenue","Other theft",1
-2.26096,53.421992,"On or near Waincliffe Avenue","Criminal damage and arson",1
-2.26089,53.452202,"On or near Dudley Road","Violence and sexual offences",1
-2.260823,53.401965,"On or near Crombie Avenue","Burglary",1
-2.260815,53.447456,"On or near Russell Avenue","Burglary",1
-2.260812,53.466467,"On or near Margaret Sands Street","Criminal damage and arson",1
-2.260812,53.466467,"On or near Margaret Sands Street","Vehicle crime",1
-2.260784,53.388285,"On or near Woodhouse Lane","Vehicle crime",1
-2.260767,53.41001,"On or near Kenworthy Lane","Violence and sexual offences",1
-2.260408,53.425175,"On or near Haddon Road","Vehicle crime",1
-2.260394,53.467205,"On or near Mosshall Close","Violence and sexual offences",1
-2.259934,53.411612,"On or near Orchard Road West","Burglary",1
-2.259733,53.46993,"On or near Quenby Street","Violence and sexual offences",1
-2.259646,53.440888,"On or near Kildare Road","Criminal damage and arson",1
-2.259564,53.373151,"On or near Brayford Road","Drugs",1
-2.259546,53.47384,"On or near Park/Open Space","Criminal damage and arson",1
-2.259537,53.465014,"On or near Erskine Street","Public order",1
-2.259448,53.455351,"On or near Rufford Road","Other theft",1
-2.259384,53.392971,"On or near Shayfield Road","Other theft",1
-2.259369,53.420134,"On or near Petrol Station","Shoplifting",1
-2.259304,53.409411,"On or near Bazley Road","Other theft",1
-2.259254,53.465527,"On or near Wellington Grove","Vehicle crime",1
-2.259198,53.451325,"On or near Victoria Road","Violence and sexual offences",1
-2.259175,53.469841,"On or near Langholme Close","Bicycle theft",1
-2.259164,53.379075,"On or near Wavell Road","Criminal damage and arson",1
-2.259164,53.379075,"On or near Wavell Road","Public order",1
-2.259077,53.394455,"On or near Merewood Avenue","Public order",1
-2.259069,53.420315,"On or near Supermarket","Public order",1
-2.259009,53.447514,"On or near Grosvenor Road","Burglary",1
-2.259009,53.447514,"On or near Grosvenor Road","Criminal damage and arson",1
-2.259009,53.447514,"On or near Grosvenor Road","Vehicle crime",1
-2.259009,53.447514,"On or near Grosvenor Road","Violence and sexual offences",1
-2.258846,53.450436,"On or near Chatsworth Grove","Burglary",1
-2.258846,53.450436,"On or near Chatsworth Grove","Other theft",1
-2.258835,53.451047,"On or near Filey Avenue","Violence and sexual offences",1
-2.258713,53.475649,"On or near Potato Wharf","Criminal damage and arson",1
-2.25868,53.383561,"On or near Northcote Avenue","Vehicle crime",1
-2.258573,53.45263,"On or near May Road","Burglary",1
-2.258573,53.45263,"On or near May Road","Other theft",1
-2.258494,53.466787,"On or near Shawgreen Close","Drugs",1
-2.258494,53.466787,"On or near Shawgreen Close","Other theft",1
-2.258471,53.368794,"On or near Darian Avenue","Vehicle crime",1
-2.25842,53.469492,"On or near Pedestrian Subway","Criminal damage and arson",1
-2.258414,53.374331,"On or near Prinknash Road","Criminal damage and arson",1
-2.258414,53.374331,"On or near Prinknash Road","Violence and sexual offences",1
-2.258414,53.384308,"On or near Wray Close","Vehicle crime",1
-2.258413,53.456055,"On or near Withington Road","Public order",1
-2.258413,53.456055,"On or near Withington Road","Violence and sexual offences",1
-2.258377,53.425197,"On or near Christie Way","Drugs",1
-2.258377,53.425197,"On or near Christie Way","Possession of weapons",1
-2.258377,53.425197,"On or near Christie Way","Violence and sexual offences",1
-2.258319,53.390906,"On or near Lyndene Road","Other crime",1
-2.258308,53.406456,"On or near Kingsley Road","Criminal damage and arson",1
-2.258277,53.473223,"On or near Blantyre Street","Other theft",1
-2.258277,53.473223,"On or near Blantyre Street","Vehicle crime",1
-2.258223,53.476783,"On or near Woollam Place","Burglary",1
-2.258223,53.476783,"On or near Woollam Place","Other theft",1
-2.258036,53.438582,"On or near Withington Road","Violence and sexual offences",1
-2.257911,53.457602,"On or near Garthorne Close","Violence and sexual offences",1
-2.257877,53.370053,"On or near Parking Area","Shoplifting",1
-2.257842,53.468568,"On or near Chorlton Road","Public order",1
-2.257791,53.455211,"On or near Catesby Road","Burglary",1
-2.257791,53.455211,"On or near Catesby Road","Criminal damage and arson",1
-2.25777,53.456784,"On or near Stonesby Close","Criminal damage and arson",1
-2.257746,53.408084,"On or near Palatine Road","Burglary",1
-2.257746,53.408084,"On or near Palatine Road","Shoplifting",1
-2.257743,53.434906,"On or near Ploughbank Drive","Vehicle crime",1
-2.257621,53.476847,"On or near Old Medlock Street","Criminal damage and arson",1
-2.257585,53.458546,"On or near Dunsmore Close","Criminal damage and arson",1
-2.257569,53.373811,"On or near Bardsea Avenue","Violence and sexual offences",1
-2.257565,53.390458,"On or near Overdale Road","Violence and sexual offences",1
-2.257511,53.421496,"On or near Rosegarth Avenue","Shoplifting",1
-2.257511,53.421496,"On or near Rosegarth Avenue","Violence and sexual offences",1
-2.257488,53.367879,"On or near Ravenscar Crescent","Criminal damage and arson",1
-2.257433,53.386081,"On or near Woodend Road","Violence and sexual offences",1
-2.257334,53.451949,"On or near Supermarket","Public order",1
-2.257334,53.451949,"On or near Supermarket","Violence and sexual offences",1
-2.257284,53.388814,"On or near Brownley Court Road","Violence and sexual offences",1
-2.257226,53.463823,"On or near Bankwell Street","Bicycle theft",1
-2.257124,53.407196,"On or near Church Road","Criminal damage and arson",1
-2.257124,53.407196,"On or near Church Road","Other theft",1
-2.257081,53.452381,"On or near Petrol Station","Criminal damage and arson",1
-2.257043,53.443564,"On or near Withington Road","Vehicle crime",1
-2.256902,53.422657,"On or near Ambrose Drive","Burglary",1
-2.256865,53.366631,"On or near Beaford Road","Burglary",1
-2.256865,53.366631,"On or near Beaford Road","Criminal damage and arson",1
-2.256865,53.366631,"On or near Beaford Road","Violence and sexual offences",1
-2.256708,53.46537,"On or near Nash Street","Other theft",1
-2.256698,53.456328,"On or near Walford Street","Burglary",1
-2.25663,53.410019,"On or near Petrol Station","Burglary",1
-2.25663,53.410019,"On or near Petrol Station","Vehicle crime",1
-2.256476,53.456886,"On or near Flaxpool Close","Violence and sexual offences",1
-2.25644,53.468418,"On or near Mary France Street","Other theft",1
-2.256254,53.457578,"On or near Woodhead Street","Criminal damage and arson",1
-2.256212,53.388043,"On or near Brownley Road","Theft from the person",1
-2.256212,53.388043,"On or near Brownley Road","Vehicle crime",1
-2.256182,53.393023,"On or near Starling Close","Burglary",1
-2.256182,53.393023,"On or near Starling Close","Violence and sexual offences",1
-2.256126,53.373805,"On or near Hatchett Road","Criminal damage and arson",1
-2.256113,53.454181,"On or near Portman Close","Vehicle crime",1
-2.255941,53.408007,"On or near Elverston Street","Vehicle crime",1
-2.255938,53.472554,"On or near Chester Road","Criminal damage and arson",1
-2.255938,53.472554,"On or near Chester Road","Other theft",1
-2.255936,53.467278,"On or near Fenn Street","Burglary",1
-2.25588,53.445553,"On or near Woodgate Road","Public order",1
-2.255566,53.458317,"On or near Hulton Drive","Violence and sexual offences",1
-2.255517,53.390085,"On or near Hollinsclough Close","Other theft",1
-2.255456,53.392422,"On or near Finchwood Road","Vehicle crime",1
-2.255401,53.468573,"On or near Chevassut Street","Violence and sexual offences",1
-2.255379,53.464807,"On or near Sadler Court","Public order",1
-2.255365,53.424844,"On or near Princess Road","Public order",1
-2.255359,53.46656,"On or near Hornchurch Street","Criminal damage and arson",1
-2.255264,53.475746,"On or near Duke Place","Violence and sexual offences",1
-2.255214,53.39209,"On or near Harrier Close","Burglary",1
-2.255175,53.420845,"On or near Gladwyn Avenue","Vehicle crime",1
-2.255087,53.473886,"On or near Parking Area","Bicycle theft",1
-2.255087,53.473886,"On or near Parking Area","Other theft",1
-2.255087,53.473886,"On or near Parking Area","Vehicle crime",1
-2.255016,53.454588,"On or near Catherston Close","Burglary",1
-2.255003,53.366868,"On or near Robinsbay Road","Other theft",1
-2.254954,53.391354,"On or near Whitsand Road","Vehicle crime",1
-2.254947,53.445573,"On or near Holden Avenue","Other theft",1
-2.254912,53.449779,"On or near Stanley Road","Other theft",1
-2.254887,53.453051,"On or near Range Road","Robbery",1
-2.254887,53.453051,"On or near Range Road","Vehicle crime",1
-2.254794,53.407354,"On or near Joseph Johnson Mews","Violence and sexual offences",1
-2.254727,53.40623,"On or near Dukefield Street","Burglary",1
-2.254719,53.467739,"On or near Royce Road","Other theft",1
-2.254712,53.433924,"On or near Horsefield Close","Violence and sexual offences",1
-2.254628,53.379723,"On or near Brinkshaw Avenue","Vehicle crime",1
-2.254568,53.402392,"On or near Petrol Station","Other theft",1
-2.254515,53.466526,"On or near Mallow Street","Vehicle crime",1
-2.254401,53.469968,"On or near Jackson Crescent","Public order",1
-2.25425,53.38429,"On or near Shannon Road","Violence and sexual offences",1
-2.25424,53.385189,"On or near Melvin Avenue","Vehicle crime",1
-2.254089,53.407715,"On or near Boat Lane","Burglary",1
-2.253913,53.499236,"On or near Sandering Drive","Public order",1
-2.253896,53.392974,"On or near Petworth Close","Drugs",1
-2.253896,53.392974,"On or near Petworth Close","Public order",1
-2.253895,53.478607,"On or near Little John Street","Other theft",1
-2.253774,53.476082,"On or near Stone Street","Drugs",1
-2.253774,53.476082,"On or near Stone Street","Vehicle crime",1
